Generation;Best Distance;Best Fitness;Average Fitness
0;22215.754453262234;4.5013101045197983e-05;3.964248766105788e-05
1;21218.465573223704;4.71287613399309e-05;4.15406617371955e-05
2;19933.84997735609;5.016592384993128e-05;4.25397468021763e-05
3;19933.84997735609;5.016592384993128e-05;4.357658899048742e-05
4;19933.84997735609;5.016592384993128e-05;4.3987608544862516e-05
5;19933.84997735609;5.016592384993128e-05;4.4717208424919e-05
6;19933.84997735609;5.016592384993128e-05;4.5488750011888365e-05
7;19766.084742206254;5.059170862830075e-05;4.61276264067375e-05
8;19720.2101031838;5.070939887392738e-05;4.6813241239895736e-05
9;18784.86087031233;5.323435754482505e-05;4.745288229809446e-05
10;18709.052050887636;5.345006242326189e-05;4.800477685533116e-05
11;18252.709519665503;5.478638658674747e-05;4.884324036553008e-05
12;17802.12742230142;5.617306158292413e-05;4.966398867420947e-05
13;17476.432582091773;5.7219915752412034e-05;4.996245501452121e-05
14;17476.432582091773;5.7219915752412034e-05;5.105667061409382e-05
15;17476.432582091773;5.7219915752412034e-05;5.1731608684240445e-05
16;16192.770763224793;6.175595360561072e-05;5.2445995549503455e-05
17;16192.770763224793;6.175595360561072e-05;5.2819375279557386e-05
18;16192.770763224793;6.175595360561072e-05;5.360197880179407e-05
19;16157.184238679552;6.18919723404556e-05;5.40452288754552e-05
20;16068.413580059727;6.223389726792699e-05;5.483508107876428e-05
21;15787.530498713719;6.334112862562479e-05;5.56466350090427e-05
22;15787.530498713719;6.334112862562479e-05;5.617540439942182e-05
23;15729.131804159122;6.357629985245457e-05;5.684247822479447e-05
24;15517.731183892769;6.444241030789274e-05;5.815206264094223e-05
25;15517.731183892769;6.444241030789274e-05;5.908034801124645e-05
26;15438.052107903084;6.477501131687965e-05;5.97553571746807e-05
27;15066.840197127969;6.637091698832906e-05;6.0365420861529595e-05
28;15025.326448304699;6.655429440688323e-05;6.097571048832209e-05
29;15025.326448304699;6.655429440688323e-05;6.152789407797546e-05
30;15025.326448304699;6.655429440688323e-05;6.192443914499893e-05
31;14980.887186159493;6.675172088098212e-05;6.224141197642188e-05
32;14603.598741689799;6.847627202637648e-05;6.254614513979803e-05
33;14603.598741689799;6.847627202637648e-05;6.28526410008917e-05
34;14113.184558199131;7.085573038999512e-05;6.341296335432061e-05
35;14113.184558199131;7.085573038999512e-05;6.377937494032072e-05
