Generation;Best Distance;Best Fitness;Average Fitness
0;7502.427542941567;0.0001332901909783614;9.75260510409038e-05
1;7502.427542941567;0.0001332901909783614;0.00010249232901454119
2;7502.427542941567;0.0001332901909783614;0.00010647142964250138
3;7438.80472651312;0.00013443019903934783;0.00010937643692754791
4;7438.80472651312;0.00013443019903934783;0.00011063073491924608
5;7016.60286763305;0.0001425191105816903;0.00011320996462914481
6;6088.59370785094;0.00016424153884837966;0.00011548967335950272
7;6010.754247922615;0.00016636847203420625;0.0001186613532039507
8;6010.754247922615;0.00016636847203420625;0.00012181392285665075
9;6010.754247922615;0.00016636847203420625;0.00012364953888322085
10;6010.754247922615;0.00016636847203420625;0.00012418251847117035
11;6010.754247922615;0.00016636847203420625;0.00012713898502053736
12;6010.754247922615;0.00016636847203420625;0.00012831652438494718
13;6010.754247922615;0.00016636847203420625;0.00013024903751906647
14;6010.754247922615;0.00016636847203420625;0.00012984980331160712
15;6010.754247922615;0.00016636847203420625;0.00013110098003853184
16;5816.794482275096;0.0001719159930864318;0.00013393899026135241
17;5816.794482275096;0.0001719159930864318;0.00013427081403188994
18;5816.794482275096;0.0001719159930864318;0.0001360976809819939
19;5816.794482275096;0.0001719159930864318;0.00013911444211576183
20;5604.309290500818;0.00017843412063195337;0.0001396692021266331
21;5604.309290500818;0.00017843412063195337;0.00014147143601118397
22;5604.309290500818;0.00017843412063195337;0.0001427866780183387
23;5604.309290500818;0.00017843412063195337;0.0001443256512992171
24;5604.309290500818;0.00017843412063195337;0.0001444293057455324
25;5604.309290500818;0.00017843412063195337;0.0001452641775545155
26;5604.309290500818;0.00017843412063195337;0.0001470471772872326
27;5604.309290500818;0.00017843412063195337;0.00014787637032685668
28;5604.309290500818;0.00017843412063195337;0.00014761009029808084
29;5604.309290500818;0.00017843412063195337;0.00014766485704242974
30;5603.549902157665;0.0001784583018730585;0.00014969680607574985
31;5603.549902157665;0.0001784583018730585;0.00015043277357094134
32;5603.549902157665;0.0001784583018730585;0.0001496093814551789
33;5603.549902157665;0.0001784583018730585;0.0001502586584086609
34;5603.549902157665;0.0001784583018730585;0.00014986401324502293
35;5603.549902157665;0.0001784583018730585;0.00015315122819541525
36;5587.958194725343;0.00017895624218232928;0.00015128250077884768
37;5587.958194725343;0.00017895624218232928;0.00015103145174825841
38;5587.958194725343;0.00017895624218232928;0.00015224626828548558
39;5587.958194725343;0.00017895624218232928;0.00015332134124753594
40;5127.574511840385;0.00019502398213635727;0.0001547947174619767
41;5127.574511840385;0.00019502398213635727;0.0001525556659808884
42;5127.574511840385;0.00019502398213635727;0.00015445228170704307
43;5127.574511840385;0.00019502398213635727;0.00015678719370189028
44;5127.574511840385;0.00019502398213635727;0.00015768112952988788
45;4954.996786158905;0.000201816478023429;0.0001569982827388369
46;4954.996786158905;0.000201816478023429;0.00015807448497059072
47;4954.996786158905;0.000201816478023429;0.00016007663754900756
48;4954.996786158905;0.000201816478023429;0.00015995399558650186
49;4954.996786158905;0.000201816478023429;0.00015964354097212447
50;4793.986873303325;0.00020859464709191913;0.00015887838954449548
51;4793.986873303325;0.00020859464709191913;0.00016203620965823544
52;4793.986873303325;0.00020859464709191913;0.00016285864770841408
53;4793.986873303325;0.00020859464709191913;0.0001612796132253193
54;4793.986873303325;0.00020859464709191913;0.00016296857816554898
55;4793.986873303325;0.00020859464709191913;0.00016246624275902404
56;4793.986873303325;0.00020859464709191913;0.00016331496394648659
57;4793.986873303325;0.00020859464709191913;0.00016135102722022445
