generation,best_distance,best_fitness,average_fitness,best_distance_std,best_fitness_std,average_fitness_std
0,8013.529110932503,0.00012508546764796344,9.769325768508462e-05,385.367030678569,6.186114073094631e-06,8.72746660814252e-07
1,7783.727733319424,0.0001287928428025498,0.00010321665131124752,381.85122267587275,6.540055904480468e-06,1.1675114571609096e-06
2,7571.846923115437,0.0001323827123061742,0.00010691012727173446,363.2102624490222,6.586224389538378e-06,1.3841922474972064e-06
3,7405.59576753063,0.00013534578297111705,0.00010993125070899801,350.77015643756204,6.630416614514045e-06,1.6010900386706283e-06
4,7243.272973806747,0.00013840088269436652,0.00011251936695181056,355.40003416859145,6.9943927509240245e-06,1.7291320043047444e-06
5,7097.035360075604,0.00014123743412968235,0.00011485816374181823,340.6826971394985,6.972995662514623e-06,1.8636848952083582e-06
6,6972.112427541873,0.00014376072371121622,0.00011693617863971146,331.33181243894,7.013619158850957e-06,1.9972631405075862e-06
7,6860.896939069559,0.0001460766535930762,0.00011893127808389362,319.73496233252325,6.95501207763556e-06,2.1507529273057474e-06
8,6757.053767269515,0.00014832956240620526,0.00012072122230461285,318.53163805299164,7.154126786298562e-06,2.2359299576984e-06
9,6662.30539197984,0.000150448354128976,0.00012238626404627062,318.1957028415038,7.358465045661399e-06,2.353968640963452e-06
10,6573.322922789848,0.00015248805671070815,0.00012396393763563457,315.22657179230504,7.490251115542379e-06,2.449762897032017e-06
11,6491.273782077334,0.00015440972037223427,0.0001253969723823992,308.5108007606101,7.532420037945792e-06,2.555053758286609e-06
12,6415.425148750695,0.00015624259331241784,0.00012684394163626147,307.64388127590775,7.707320284000538e-06,2.614810813347609e-06
13,6344.680135029903,0.00015800904768980778,0.00012816370295891066,314.09319972073325,8.043522402866028e-06,2.706417178122652e-06
14,6284.220888160357,0.00015952234792615327,0.00012938574623889024,308.62793896398614,8.043993689967074e-06,2.7500510087021423e-06
15,6229.005160951581,0.00016094220699306146,0.00013061719125870598,306.7617652166468,8.22094080058862e-06,2.7905758475624085e-06
16,6176.354201292818,0.00016230653816687004,0.0001317373381812504,301.2334759276322,8.213284507318887e-06,2.917611115937474e-06
17,6117.136641316009,0.00016390048915004114,0.00013287617697140049,306.5245289143735,8.52540093751212e-06,2.9317169947645864e-06
18,6065.386186555714,0.0001653024972585499,0.0001339960660728525,305.74235156679464,8.615622484002467e-06,3.014017303092251e-06
19,6012.62808504802,0.00016677116420581325,0.00013498901891321295,309.42018867158225,8.869469554474e-06,3.0598683271108268e-06
20,5963.836531950549,0.00016812263856558996,0.00013593430280288613,302.679005192202,8.811046671493378e-06,3.0670586495742477e-06
21,5918.368983182535,0.00016940314295333785,0.00013695262323988974,297.19571488642026,8.75173085527766e-06,3.1740939648388205e-06
22,5877.997949479915,0.00017055347441423594,0.00013785091517271036,289.9120979684353,8.704492946716695e-06,3.1755714881703303e-06
23,5835.201687321841,0.00017180363950529233,0.00013875683118669095,287.89633554990695,8.749236161798854e-06,3.204334904620021e-06
24,5796.045122761358,0.00017297848646035557,0.00013961802400810718,290.8111520241164,8.948646364998303e-06,3.2280544132477137e-06
25,5757.011828776868,0.00017413844494645328,0.0001404252759513296,284.7746565283864,8.87493005915994e-06,3.2897816234829563e-06
26,5725.229724920525,0.00017510263767423417,0.00014121439123296792,282.89617067519345,8.88252408483237e-06,3.3470317808034654e-06
27,5686.084702981464,0.00017629990420584086,0.00014202711241593336,278.17057033645006,8.863123860293542e-06,3.3537175971624935e-06
28,5655.466154013963,0.00017725146901091226,0.00014274032361723008,276.05278127335623,8.870422409698469e-06,3.384275569780691e-06
29,5625.1956578416875,0.00017819955677855916,0.00014355394445488017,272.8777001077861,8.854627640915264e-06,3.453344055111661e-06
30,5601.468909177336,0.0001789557998153316,0.00014425098019139632,272.18489781523425,8.906652298390284e-06,3.4880754167096085e-06
31,5573.978454090193,0.00017984235887585537,0.00014495297371754613,272.19995622452234,8.986770433160677e-06,3.5152831423296136e-06
32,5546.305363529841,0.00018071715044259802,0.00014564881090660308,264.13016818056474,8.785677933382178e-06,3.5185480176481304e-06
33,5514.519246794278,0.00018175620735823455,0.00014630199505209074,261.7507627532171,8.809347138682804e-06,3.5486502951509466e-06
34,5491.349126699558,0.00018251849071164233,0.00014693358106130288,259.3251720941882,8.793962299465981e-06,3.5499055357026527e-06
35,5463.764618299471,0.00018343957579720877,0.00014761274457776526,258.1890118512526,8.824516069547213e-06,3.6214820723262717e-06
36,5444.025291499884,0.00018409646195683454,0.00014817667329036283,254.96368375682533,8.759571499492223e-06,3.5891947497671423e-06
37,5420.698513916076,0.0001848889310662976,0.00014876265750461733,253.8259727914801,8.804270082304343e-06,3.6574281342951013e-06
38,5401.078992412829,0.00018555950876570528,0.00014938842973171237,252.77931446709172,8.818598962505844e-06,3.6519207351337178e-06
39,5379.802236057202,0.00018629606783062002,0.00014993680132975617,252.4209947771057,8.889928526973685e-06,3.7237821022659644e-06
40,5356.733526146986,0.0001870871643137312,0.0001505298359139759,247.72920600006418,8.814840039495698e-06,3.7106556243092097e-06
41,5338.2866095397985,0.00018773688332282838,0.00015102743536321185,247.9548754891905,8.876510316778767e-06,3.760256666099986e-06
42,5317.258671310679,0.00018847638018363677,0.00015155687730173843,245.34273121498717,8.911523619053207e-06,3.7587129463235686e-06
43,5297.356849611838,0.00018918431674619035,0.0001521138859986187,244.5742512208697,8.934942821727157e-06,3.8033221214017085e-06
