generation,best_distance,best_fitness,average_fitness,best_distance_std,best_fitness_std,average_fitness_std
0,8654.442124080424,0.0001155475980615,9.697748767232128e-05,,,
1,7096.071587644585,0.0001409230427918,0.0001039210309899,,,
2,7096.071587644585,0.0001409230427918,0.0001084950762056,,,
3,7096.071587644585,0.0001409230427918,0.0001129009624588,,,
4,7096.071587644585,0.0001409230427918,0.0001157371043284,,,
5,7096.071587644585,0.0001409230427918,0.000118792403983,,,
6,6667.2981413014,0.0001499857931664,0.0001228999709179,,,
7,6545.69642361651,0.0001527721322962,0.000127035868439,,,
8,6535.133424724761,0.0001530190640357,0.0001294942188088,,,
9,6410.858195016829,0.0001559853563407,0.0001332441332994,,,
10,6410.858195016829,0.0001559853563407,0.0001352299946656,,,
11,6170.178689579356,0.0001620698605842,0.0001382325494104,,,
12,5491.748487555176,0.0001820913689448,0.0001425131095798,,,
13,5491.748487555176,0.0001820913689448,0.00014373385456,,,
14,5491.748487555176,0.0001820913689448,0.0001466714118805,,,
15,5491.748487555176,0.0001820913689448,0.0001492432980031,,,
16,5491.748487555176,0.0001820913689448,0.0001501847236757,,,
17,5491.748487555176,0.0001820913689448,0.0001514561721377,,,
18,5491.748487555176,0.0001820913689448,0.0001544842090695,,,
19,5491.748487555176,0.0001820913689448,0.0001560117351686,,,
20,5491.748487555176,0.0001820913689448,0.000158204770674,,,
21,5491.748487555176,0.0001820913689448,0.0001591573885449,,,
22,5121.072186432933,0.0001952716078967,0.0001606285372378,,,
23,5120.821061750708,0.0001952811840017,0.0001619654115413,,,
24,5120.821061750708,0.0001952811840017,0.0001648511493985,,,
25,5120.821061750708,0.0001952811840017,0.0001672096580651,,,
26,4995.649143253517,0.0002001741858413,0.0001675257041144,,,
27,4709.220013402869,0.0002123493905899,0.0001705784048918,,,
28,4709.220013402869,0.0002123493905899,0.0001684512774861,,,
29,4698.710744881832,0.0002128243372055,0.000172909040235,,,
30,4698.710744881832,0.0002128243372055,0.0001743322368319,,,
31,4687.2247971866245,0.0002133458588545,0.0001785946192935,,,
32,4651.59341688572,0.0002149800961472,0.0001799055310494,,,
33,4651.59341688572,0.0002149800961472,0.0001797254646507,,,
34,4651.59341688572,0.0002149800961472,0.000181791922324,,,
35,4516.546398817934,0.0002214081095816,0.000184609508336,,,
36,4516.546398817934,0.0002214081095816,0.0001862584346755,,,
37,4516.546398817934,0.0002214081095816,0.000188665984573,,,
38,4516.546398817934,0.0002214081095816,0.0001915131755235,,,
39,4339.761303467783,0.0002304274198677,0.0001898835396901,,,
40,4339.761303467783,0.0002304274198677,0.0001945493624505,,,
41,4339.761303467783,0.0002304274198677,0.0001936269355993,,,
42,4339.761303467783,0.0002304274198677,0.0001967382368257,,,
43,4339.761303467783,0.0002304274198677,0.0001953684517499,,,
44,4339.761303467783,0.0002304274198677,0.0001978780448854,,,
45,4339.761303467783,0.0002304274198677,0.0001977325698428,,,
46,4327.948408577747,0.0002310563587167,0.0001986943095661,,,
47,4327.948408577747,0.0002310563587167,0.0002016687146886,,,
48,4327.948408577747,0.0002310563587167,0.0002015036340731,,,
